input_size,block_size,merge_s-1,merge_s-22,merge_s-57,merge_s-101,merge_s-611
9600000,1,109710336,109710336,109710336,109710336,109710336
9600000,960000,196306461,196305202,196310431,196307690,196305104
9600000,1920000,201107156,201108341,201110361,201106080,201107284
9600000,4800000,205908498,205907055,205906718,205913413,205907707
9600000,9600000,210708781,210706176,210708840,210710514,210704382
19200000,1,229020672,229020672,229020672,229020672,229020672
19200000,1920000,411817057,411817743,411819924,411816389,411812956
19200000,3840000,421416329,421417419,421419646,421420609,421414973
19200000,9600000,431018875,431012463,431017335,431017799,431012244
19200000,19200000,440614690,440616428,440617068,440617301,440620078
